business_id,latitude,longitude,stars,review_count,is_open,RestaurantsGoodForGroups,GoodForKids,RestaurantsReservations,RestaurantsTableService,HappyHour,DogsAllowed,HasTV,BusinessAcceptsBitcoin,WheelchairAccessible,DriveThru,GoodForDancing,CoatCheck,Corkage,RestaurantsCounterService,Ambience_divey,Ambience_hipster,Ambience_casual,Ambience_touristy,Ambience_trendy,Ambience_intimate,Ambience_romantic,Ambience_classy,Ambience_upscale,Parking,music,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
MTSW4McQd7CbVtyjqoe9mw,0.6377229517846984,0.9259084821686152,0.3820806790417449,-0.4695677321331043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
9OG5YkX1g2GReZM0AskizA,0.5504803176632684,-2.127883121479036,-2.3158427183840264,0.520795237703933,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
tMkwHmWFUEXrC9ZduonpTg,-0.05303140804565537,0.1310433616111264,0.3820806790417449,-0.15984031685588415,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
ljxNT9p0y7YMPx0fcNBGig,0.44500896643138704,-0.10247058009106103,-1.4165349192421026,-0.4160345986283996,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
ppFCk9aQkM338Rgwpl2F5A,0.6375533032645571,0.9232176029721647,-1.4165349192421026,-0.5613388181411696,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
TLZ3-eDPLhUzfsWO4ad6Ug,-1.182166006331428,-0.09452431905014948,0.3820806790417449,0.6852184334683832,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1
vje0KIiE7vtpx7JzmBx5LQ,-1.5799920590462844,0.40512109541986,0.3820806790417449,-0.2822017648666378,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
3BJxm-HnvzdwD1zjmSbmyQ,0.6391010519194495,0.9250557538848426,-1.4165349192421026,-0.2516114028639494,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
CtMEJxpVMlNzFpB4PtFjfA,-1.5030503158216129,0.4305010681610212,0.3820806790417449,-0.48868670838478456,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
IYlUaKC9nICjiWdk-ShPlg,0.641564484376398,0.175041704683146,0.3820806790417449,-0.10630718335117943,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
bTve2mwLk5Zc01vRKqc2KQ,0.6346376490370239,0.9263141033261735,1.2813884781836686,-0.07571682134849102,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
v5kwdvmg-J8g-ll0nkc3Sw,0.603462703302019,0.17321824957860607,0.3820806790417449,0.01987805990991027,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0
wZhGuW7vQpfhxeEvLHkTrA,1.3045503915286543,-1.8951085069488376,1.2813884781836686,-0.3204397173699983,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
dJfkfBbJz7wi0RgW-ph_Eg,-1.52797875454537,0.4302953326763667,-1.4165349192421026,-0.24014001711294122,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
zVlhs7BVaouutt-rles-YA,-1.5732380752027602,0.4063698762864775,1.2813884781836686,-0.39691562237671935,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
0CEUpFtaKhxbmrbSdP9MUQ,0.6347098069840702,0.925850757184112,0.3820806790417449,-0.47339152738344037,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
f82dhKNiUXsDVPMLqKYiIQ,-0.7644061078927636,-1.5237322924622778,0.3820806790417449,0.9299413294898905,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1
XwoXi0M66RU6Gouq-DSDHw,-1.5212590207034453,0.4180347019627207,0.3820806790417449,-0.4619201416324322,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
0DbIUh_Xuj6H5B_SF0RLCQ,0.6188611595009587,0.157619955615305,0.3820806790417449,-0.4925105036351206,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
VeqkfRUzZAKlQer3npXPdQ,0.38959277322216607,-0.12418410985539555,0.3820806790417449,-0.27837796961630173,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
dChRGpit9fM_kZK5pafNyA,0.6368403681887601,0.9248592790900722,0.3820806790417449,1.5876341125476914,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1
j9Kaj_6tSeXmVMYCgZithg,-1.5037731755724215,0.43385995480822914,1.2813884781836686,1.1211310920066933,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
5iuo1kvv0XZMS0bUOoLz2Q,0.6373747723650138,0.9242761048430502,-0.5172271201001788,-0.15219272635521205,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0
46_2e1hnQ4csLrYnhn6bkw,0.635059819161014,0.9262175497885483,0.3820806790417449,-0.14072134060420388,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
yN6jZyG1G1FG_HCZQlJZ1g,0.6420671331777648,0.1838288745418668,0.3820806790417449,-0.05659784509681076,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
jZoeTGRfhG9n_Jo6VMqwxw,3.1016615298329464,-1.6988016368741754,0.3820806790417449,-0.5575150228908335,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
adb1hOYICrJ1Ix8M0sRpbw,0.6298884732042195,0.9363969825413442,-1.4165349192421026,-0.297496945867982,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
18eWJFJbXyR9j_5xfcRLYA,-0.3739432949746935,-2.109570289210639,1.2813884781836686,0.9834744629945954,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
dBCNUSbz5-8nQNrxWo5deg,0.6776877977659422,0.9335945415165532,1.2813884781836686,1.4117395310322332,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
sWCCxY1-9B1FGlSVeQvnHg,-1.5770649394214313,0.4076541249243667,0.3820806790417449,-0.297496945867982,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
k6NkyANDoAMSNpa9_VD8IQ,-1.1864898616770516,-0.09476973101642855,0.3820806790417449,-0.4848629131344485,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
wMyHVb54Ne9SNasa4kjOCg,0.3943889745619496,-0.10849001594706081,1.2813884781836686,0.299015113184442,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
4FaYG9qKDpDyr68bKmaIEw,1.3034446551592773,-1.8822980760331345,0.3820806790417449,-0.10248338810084338,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0
kq5Ghhh14r-eCxlVmlyd8w,0.6373199956022281,0.9246714077673878,0.3820806790417449,-0.526924660888145,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
Wc-c_hQK4vFCl9keeVTUZw,-1.169722281919364,-0.09750467156287129,-0.5172271201001788,0.19959643667570467,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
vLT1KtrA9bWvjFOg-0xVIg,-0.3677660833419468,-2.133562276091143,-0.5172271201001788,-0.2745541743659657,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
4fUok5d5vgdQEb1Bzzg0rA,-1.170411444928031,-0.10679096247398934,-0.5172271201001788,-0.3357348983713425,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
K5ffo0hkwhG33BDNQrJF6A,0.7017403722818264,0.9276626183517463,0.3820806790417449,-0.37397285087470306,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0
