,0
0,ejFxLGqQcWNLdNByJlIhnQ
1,f7xa0p_1V9lx53iIGN5Sug
2,qdneUwCll9ADHOp7i3wq3Q
3,QD9xhB-261YIQIFI5sRBtQ
4,tqJxu8-N-PWiuZn30HTwng
5,bwq4VuSXz4Xx1P9CPQIwCg
6,NdDIGlFoG7cWIIlvgJr0vg
7,nADHfrPEyIpvlZq9DksfiQ
8,MSTWTFQJMsi1GBGRC8NUOA
9,NMLvjdY7IOdtfU0TepvUuA
10,-wHb3saowEIu9s6Cz6zYLw
11,g2msNh9EGVSnTdYG8pfEDg
12,6QP95ARs4kbOps-Ca034wg
13,vDzDD3gjPdIv4_Xp97KzQA
14,1_sws6Q8TiR21CzzNvxUiw
15,hYsb21RaipITbfBTopTrsw
16,eGy5lq1qBTljIsdWhDeYzg
17,-V_gxe3Av93zpL2bFoqaKw
18,y02iMPi08yikRSwAXv5xdw
19,kMaEKYTTkkfWUTuSQ7lYng
20,0Bu7_bXX4dCssG0-OWd_jQ
21,oCTKHWdDbzTdfKq2lCB6Cg
22,GjZyEJXiwEwwZv_YjEpXTQ
23,s0M8VttOEQPtoq4yF_1DoQ
24,aTmDh2aGyBwTGBkuEy3y9w
25,ymyoWNf7T1p6keSPkf8ueQ
26,GqSA5t_OD1uxDZMwVLpoXA
27,SGPCLi-kVZ_pz1w7VJtkeA
28,SPuzzZ0VZ1yyD3s9ObLnaw
29,zh_n5d_J-_0gN5synJAxig
30,EuopqHg-cCgb0MjbIRCWJQ
31,rslPC4SPqIEp06X20TUn3w
32,Nbuce0D03EQdaGND4xEotA
33,XBeEmeV16yfP9EXLiqkRhQ
34,iuSrTH3yVFX_-V-NzzEQwQ
35,O2-SGy6v_Pyx4qAL5gcDMw
36,NsbR5YQNXsLvZXH6voqpPw
37,16xv08cy9TtvFY-9V4JLyQ
38,-nWeX3hF2oDDakxG3FDjAg
39,ydsAA_vB_SAuHWIjLmSbew
40,xWR-GSPPlt7taGuM1vk_0g
41,RNNGukTRICVvbgPbzjQTdg
42,wmqsehbFirZPlAluJUakeQ
43,ko14uu1dxY-I65bvAxdslg
44,tvG1daVmZtkOKKaAOMAE0g
45,j-B00rO0bM87_F3NnlqJXg
46,yV3JhCO_JKV5lgEf7SVhiA
47,bJgfxs6_h5Tcp5anvdTtYQ
48,SDkGatUfx1KfKnwXKfkTUw
49,ENZbh_u6v1vT_zTUW3vZGw
50,4Uh27DgGzsp6PqrH913giQ
51,T-5xuMYhAaq5RgY7G-jVYQ
52,qrrcGq6CF5MkSjz5_dhRfw
53,4bI4Iy6UCt9pWgOtaewbIw
54,6IeGk4i1BPl2PS5jWZ5OxA
55,czBDDBodrEXN9ON16bXnpQ
56,ig0NAzZ9J_6cF0gChtvJuA
57,rqzcmK4ysvFA_sbgYaSmdg
58,Yt6SogCXxDcb5uVkuzu7eA
59,Glyjzk7Wah3E7dupDFvSXw
60,P-7VidyXqOGd6zBnT85pDA
61,6BZofPK38IX4fRtyFxJP8g
62,loaodrNzgVwVjRYfxLpGUg
63,U1G8--enlCKCvxJY7kdwnw
64,I06gY9An4o81XpejLWD9DA
65,fYAUYuwAhsmpBUtL1N168w
66,Fv3v5qxkb5CA9kMdYx2XDw
67,sOq_0o7ybhTJH9RuX87_lg
68,BG9EcvTb1xrsNNwW9_TV-Q
